cif_id,barrier_1d,barrier_2d,barrier_3d
019,0.5273,0.5273,0.5273
0ii,0.8398,1.6211,4.0918
1dm,0.3223,0.3223,0.3223
1xf,0.4492,0.4492,0.4492
2d1,0.4688,0.4688,0.4688
2t8,0.5762,0.957,1.2402
4xq,0.5957,0.6543,3.6621
5tl,1.9531,1.9531,2.6172
68u,0.5371,0.5762,0.5762
7e5,1.6211,1.6211,1.709
97b,0.6641,0.6641,0.7227
9ky,0.6152,0.6152,0.625
9n0,2.0117,2.0996,inf
9ph,1.8945,1.8945,1.8945
9rc,0.5664,0.5762,0.5762
9s4,1.416,1.416,1.4746
aab,0.791,0.8691,1.0938
ard,0.3418,0.3418,0.5078
b56,1.4941,2.5488,4.4824
bnu,0.9375,0.9375,0.9668
cy2,1.8457,2.1289,2.1289
cz2,0.8984,0.9473,1.1523
dmq,0.5371,0.5566,0.6738
gas,1.8848,1.8848,1.8848
gcj,1.4844,1.4844,1.4844
gwu,1.9434,1.9434,1.9434
gxz,0.459,0.4688,0.4883
gz8,1.3086,1.3086,1.3184
h5i,3.2422,3.2422,4.9316
h89,0.4199,0.4199,0.4395
hta,1.8066,1.8066,2.1973
hx7,0.6055,0.6055,0.6055
ia5,0.5078,0.5078,inf
ik8,0.5566,0.5566,0.5566
iqt,0.1953,0.1953,0.2148
ix1,0.2637,0.2637,0.2734
j8q,0.6152,0.7031,0.7031
jej,0.4102,0.4199,0.4297
joc,0.4492,0.4492,0.5371
kab,0.6738,0.6738,0.6836
klr,0.459,0.5371,0.5371
ku9,0.332,0.459,4.5605
l2w,1.1719,1.1719,1.7871
l9r,0.459,0.459,0.459
lap,0.1953,0.1953,0.2051
lk8,1.9043,1.9043,1.9043
lud,1.9238,1.9238,1.9238
me3,0.8398,0.8398,3.291
mg4,0.6348,0.6348,0.6445
mn3,0.8496,0.8691,1.0645
my9,0.2246,0.2246,0.2246
o5q,0.4785,0.5078,0.5273
o9h,1.5234,2.959,inf
opo,0.8105,0.9375,4.7363
ozo,0.8691,1.4258,4.3652
r99,1.2012,1.2012,1.9238
s3h,1.9922,1.9922,2.5488
sib,1.3379,1.3379,1.6699
tbj,0.918,0.918,0.918
tbu,0.5664,0.5664,0.5859
u2y,1.7773,1.9824,1.9824
u8r,1.8066,1.8066,3.0371
uex,0.6934,0.7031,0.7324
uox,0.4395,0.5469,0.5566
uxo,0.3613,0.3711,0.6641
vg0,1.084,1.084,1.1035
vlm,1.9238,1.9238,1.9238
vwy,0.9082,0.9082,inf
vy5,0.1367,0.1367,0.1367
wgw,0.7227,0.7227,inf
yqu,0.166,0.166,0.166
z2s,1.4844,1.4844,1.4844
z9y,0.6055,0.6055,0.6152
zs0,0.8301,0.8301,3.5938
zxr,0.8301,0.8301,0.8301
