cif_id,barrier_1d,barrier_2d,barrier_3d
00x,0.5566,0.9082,1.2402
02p,0.5859,0.6152,0.6543
0iv,0.8789,0.8789,1.8066
1e9,0.459,0.6348,0.6348
1xt,0.2832,0.3027,2.7539
2mn,0.459,0.5273,0.5273
2ro,1.123,1.2305,1.4941
2uv,0.8398,0.8789,1.0547
32j,0.4395,0.5371,0.5371
3qz,0.459,0.5273,0.5273
3rx,0.6055,0.6055,5.0
45e,0.4492,0.498,0.498
47i,0.3809,0.4199,0.4395
4kt,0.3516,0.3809,0.3809
4p7,0.498,0.498,0.498
5bz,0.6152,0.6152,0.6738
5z0,0.5176,0.5176,0.5859
5zv,0.6055,0.6445,0.6641
7cr,0.6445,1.1133,1.3477
8k7,0.4199,0.4199,0.4199
9lo,0.5566,0.5566,0.7715
9p1,0.459,0.5273,0.5273
9zk,0.6445,0.6641,0.6641
an2,0.5469,0.5664,0.7422
be9,0.4492,0.4492,0.5176
bq9,0.4199,0.498,0.5371
bqx,0.3809,0.3809,0.3809
br1,0.7031,0.7031,0.7031
bsa,0.498,0.8887,0.8887
bv2,0.4688,0.4688,0.752
c6h,0.5078,0.5078,0.625
cdk,0.2441,0.6738,0.9277
cfy,0.4883,0.7227,0.8691
clt,0.5273,0.6934,0.7129
d7f,0.957,1.8164,1.8164
dc8,0.2539,1.2109,1.2109
dnt,0.5273,0.5566,0.6348
dth,0.4883,0.5859,0.5859
ecp,0.7715,0.7715,3.4961
fft,0.4492,0.4492,0.6641
fwz,0.5566,1.416,1.7969
gvd,0.1855,0.1855,0.1855
h6c,0.5664,0.5664,1.3672
hcm,0.5371,0.5371,0.5371
i47,0.2539,0.2539,0.2539
ipo,0.5762,0.5957,0.5957
jy6,0.7031,0.7031,0.7031
kbo,2.2754,2.3047,2.3047
kfp,0.7031,0.7422,1.6406
kxw,0.8594,0.8594,0.8984
l9v,0.4297,0.4297,0.459
ldx,0.3418,0.3418,0.3418
liv_2005,0.4785,0.498,0.5078
liv_2006,0.3125,0.4785,0.4883
liv_2008,0.4688,0.4688,0.5273
liv_2014,0.918,0.957,0.957
liv_2024,0.752,1.8066,1.9434
liv_2025,0.459,0.459,0.459
liv_2029,0.5176,0.5176,0.5176
liv_2030,0.459,0.459,0.459
liv_2031,0.2637,0.3027,0.3027
liv_24,0.459,0.5273,0.5273
liv_250,0.6152,0.6152,0.6152
liv_252,0.5371,0.5566,0.5859
liv_313,0.4395,0.459,0.6055
liv_35,0.4395,0.459,0.6055
liv_387,0.5664,0.5762,0.6152
liv_39,0.4395,0.4492,0.459
liv_391,0.5664,0.5762,0.6152
liv_409,0.5273,0.5566,0.6348
liv_410,0.5078,0.5078,0.625
liv_411,0.3711,0.3906,0.459
liv_441,0.6152,0.6152,0.6152
liv_471,0.5176,0.5566,0.5566
liv_495,0.5176,0.5273,0.5859
liv_499,0.293,0.293,0.293
liv_5,0.1855,0.3906,0.3906
liv_500,0.293,0.293,0.293
liv_502,1.123,1.2305,1.4941
liv_504,0.7422,0.7422,0.7422
liv_534,0.4395,0.459,0.6055
liv_535,0.5664,0.5762,0.6152
liv_541,0.4785,0.4785,0.8008
liv_542,0.6055,0.6152,1.0352
liv_555,0.6055,0.6641,0.6641
liv_561,0.3516,0.3516,0.3711
liv_582,0.4199,0.4297,0.4297
liv_703,0.1953,0.3711,0.8301
liv_704,0.6055,0.7324,0.752
liv_705,0.6055,0.6641,0.6641
liv_706,1.2012,1.3965,1.8555
liv_708,0.5469,0.5469,0.5469
liv_712,0.4688,0.4883,0.498
liv_714,0.3711,4.4531,5.0
liv_716,0.6055,0.6152,1.0352
liv_717,0.4395,0.4492,0.459
liv_722,1.3477,1.3965,1.3965
liv_725,0.5078,0.5078,0.7617
liv_730,0.4688,0.4688,0.4688
liv_733,0.5176,0.5273,0.5273
liv_755,0.3516,0.3516,0.3711
liv_765,0.3418,0.4102,0.4102
liv_775,0.459,0.5273,0.5273
liv_776,0.4395,0.5371,0.5371
liv_778,0.4395,0.4492,0.459
liv_781,0.5664,0.5957,0.6152
liv_783,1.123,1.2305,1.4941
liv_789,0.5469,0.5469,0.6055
liv_791,0.6543,0.6738,0.6738
liv_792,0.3418,0.3418,0.3418
liv_8,0.7129,0.7129,0.7129
liv_821,0.5859,0.6152,0.6543
liv_867,0.459,0.5273,0.5273
liv_903,0.4297,3.7207,4.043
liv_95,0.4199,0.4199,0.4199
liv_96,0.4199,0.4199,0.4199
lkm,0.5469,0.6445,0.752
mde,0.7715,0.8496,0.8691
mdp,0.3223,0.3711,0.3906
mq1,0.5273,0.5273,0.6641
n27,0.5859,0.5859,1.582
nua,0.4883,0.4883,5.0
p81,0.3809,0.3809,0.4199
ptg,0.4395,0.4492,0.459
qa9,0.8203,0.8203,0.8691
qbb,0.5859,0.5859,0.5859
qea,0.4395,0.459,0.6055
qy4,1.2695,1.377,1.377
r5y,0.3613,0.3906,0.3906
ro9,0.6641,0.9863,1.0938
rr5,0.5469,0.5469,0.5469
sg0,1.4844,1.4844,1.5039
skm,0.6055,0.6641,1.2207
t0h,1.2891,1.3965,1.3965
tka,2.0215,3.8379,5.0
tt3,0.293,0.293,0.293
tws,0.5371,1.1133,1.1133
ur9,0.0977,0.0977,0.1074
uu4,0.918,3.1934,3.7793
vzu,0.3711,0.3906,0.459
w7d,0.3613,0.3711,0.9766
wyu,0.4395,0.5371,0.5371
x2i,0.5273,0.5566,3.1934
xas,0.7617,0.8203,0.8301
y2l,0.5469,0.5469,0.5664
yp3,0.4395,0.459,0.6055
019,0.5273,0.5273,0.5273
0ii,0.8398,1.6211,4.0918
1dm,0.3223,0.3223,0.3223
1xf,0.4492,0.4492,0.4492
2d1,0.4688,0.4688,0.4688
2t8,0.5762,0.957,1.2402
4xq,0.5957,0.6543,3.6621
5tl,1.9531,1.9531,2.6172
68u,0.5371,0.5762,0.5762
7e5,1.6211,1.6211,1.709
97b,0.6641,0.6641,0.7227
9ky,0.6152,0.6152,0.625
9n0,2.0117,2.0996,5.0
9ph,1.8945,1.8945,1.8945
9rc,0.5664,0.5762,0.5762
9s4,1.416,1.416,1.4746
aab,0.791,0.8691,1.0938
ard,0.3418,0.3418,0.5078
b56,1.4941,2.5488,4.4824
bnu,0.9375,0.9375,0.9668
cy2,1.8457,2.1289,2.1289
cz2,0.8984,0.9473,1.1523
dmq,0.5371,0.5566,0.6738
gas,1.8848,1.8848,1.8848
gcj,1.4844,1.4844,1.4844
gwu,1.9434,1.9434,1.9434
gxz,0.459,0.4688,0.4883
gz8,1.3086,1.3086,1.3184
h5i,3.2422,3.2422,4.9316
h89,0.4199,0.4199,0.4395
hta,1.8066,1.8066,2.1973
hx7,0.6055,0.6055,0.6055
ia5,0.5078,0.5078,5.0
ik8,0.5566,0.5566,0.5566
iqt,0.1953,0.1953,0.2148
ix1,0.2637,0.2637,0.2734
j8q,0.6152,0.7031,0.7031
jej,0.4102,0.4199,0.4297
joc,0.4492,0.4492,0.5371
kab,0.6738,0.6738,0.6836
klr,0.459,0.5371,0.5371
ku9,0.332,0.459,4.5605
l2w,1.1719,1.1719,1.7871
l9r,0.459,0.459,0.459
lap,0.1953,0.1953,0.2051
lk8,1.9043,1.9043,1.9043
lud,1.9238,1.9238,1.9238
me3,0.8398,0.8398,3.291
mg4,0.6348,0.6348,0.6445
mn3,0.8496,0.8691,1.0645
my9,0.2246,0.2246,0.2246
o5q,0.4785,0.5078,0.5273
o9h,1.5234,2.959,5.0
opo,0.8105,0.9375,4.7363
ozo,0.8691,1.4258,4.3652
r99,1.2012,1.2012,1.9238
s3h,1.9922,1.9922,2.5488
sib,1.3379,1.3379,1.6699
tbj,0.918,0.918,0.918
tbu,0.5664,0.5664,0.5859
u2y,1.7773,1.9824,1.9824
u8r,1.8066,1.8066,3.0371
uex,0.6934,0.7031,0.7324
uox,0.4395,0.5469,0.5566
uxo,0.3613,0.3711,0.6641
vg0,1.084,1.084,1.1035
vlm,1.9238,1.9238,1.9238
vwy,0.9082,0.9082,5.0
vy5,0.1367,0.1367,0.1367
wgw,0.7227,0.7227,5.0
yqu,0.166,0.166,0.166
z2s,1.4844,1.4844,1.4844
z9y,0.6055,0.6055,0.6152
zs0,0.8301,0.8301,3.5938
zxr,0.8301,0.8301,0.8301
08e,0.5371,0.5371,0.5371
0ew,0.4199,0.4199,0.4199
0fa,0.5371,0.5371,0.5371
0v9,0.4297,0.4395,0.4395
0y6,0.6152,0.6152,0.6152
2eq,0.7129,0.7715,0.8008
31s,0.6738,0.6738,2.2656
3ta,0.5371,0.5371,0.5371
3tt,0.5371,0.5371,0.5371
