id,composition,log_conductivity,li_count,mean_electronegativity,anion_electronegativity,cation_anion_en_diff,mean_ionic_radius,anion_ionic_radius,radius_std,anion_polarizability,mean_atomic_mass,n_elements,mean_atomic_number,anion_halide,anion_mixed,anion_other,anion_oxide,anion_sulfide,cell_volume,vol_per_atom,vol_per_li,ba_ratio,ca_ratio,density,spacegroup_num,n_sym_ops,avg_li_coord_num,avg_li_anion_dist,std_li_anion_dist,min_li_li_dist,csys_cubic,csys_hexagonal,csys_monoclinic,csys_orthorhombic,csys_tetragonal,csys_triclinic,csys_trigonal,csys_unknown
jqc,Li7BiO6,-5.800000874803203,7.0,2.1085714285714285,3.44,2.33,1.0735714285714286,1.26,0.1749941689990654,1.2,25.254557142857145,3,10.857142857142858,False,False,False,True,False,133.95911623033714,8.930607748689143,16.744889528792143,1.0118347998519532,1.0998724583989434,4.382728998049761,2.0,2.0,4.5,2.0732696429998776,0.21863210537253375,1.9078884285846842,False,False,False,False,False,True,False,False
oi6,Li7SbO6,-7.173925197299173,7.0,2.1107142857142858,3.44,2.32625,1.0542857142857145,1.26,0.1781537973499416,1.2,19.02452857142857,3,8.571428571428571,False,False,False,True,False,127.46852031286821,8.497901354191214,15.933565039108526,1.0084865366759517,1.094076137418756,3.4696693769052764,2.0,2.0,5.0,2.1235404552891906,0.24853417853520832,2.1803948152392945,False,False,False,False,False,True,False,False
2t8,LiV(PO4)F,-6.091514981121351,1.0,2.8175,3.98,2.38,1.04875,1.26,0.2683951145233459,1.16,21.48153315,5,10.25,False,True,False,False,False,174.61336137129163,9.70074229840509,43.65334034282291,1.0264958256029684,1.4033897649969078,3.2685631638486785,2.0,2.0,5.5,2.167466931072622,0.26015086759455475,0.6682392136681782,False,False,False,False,False,True,False,False
47i,Li4P2O7,-10.0,4.0,2.49076923076923,3.44,2.056666666666666,1.0446153846153847,1.26,0.2542141854244289,1.2,15.515948,3,7.538461538461538,False,False,False,True,False,285.1298611345051,10.966533120557889,35.64123264181314,1.370421726638127,1.651278491264607,2.349405920913356,2.0,2.0,4.0,2.0021363342654865,0.1936140697057757,2.685878229809668,False,False,False,False,False,True,False,False
clt,Li6CuB4O10,-13.0,6.0,2.397142857142857,3.44,1.990909090909091,0.9766666666666666,1.26,0.3187674676197344,1.2,14.687142857142858,4,7.0,False,False,False,True,False,201.13780351825608,9.57799064372648,33.52296725304268,2.0176198153481995,2.8013513758310236,2.5463142982990257,2.0,2.0,4.666666666666667,2.0540407168681045,0.2339110888616276,2.3832165969920722,False,False,False,False,False,True,False,False
ix1,Li0.91Hf2.022(PO4)3,-6.494850021680094,0.91,2.864733437430292,3.44,1.7389885367498314,1.0817365603390583,1.26,0.2703208397467426,1.2,36.36723042605397,4,16.133950479589558,False,False,False,True,False,1487.5316408336237,10.330080839122386,41.320323356489546,1.0,2.494393359454624,4.377999472543297,167.0,36.0,4.0,2.2289279240175337,0.3007762491042984,1.4793786720429911,False,False,False,False,False,False,True,False
bq9,Li3BiO3,-9.619788758288394,3.0,2.182857142857143,3.44,2.2,1.092857142857143,1.26,0.1695973623206518,1.2,39.685942857142855,3,16.571428571428573,False,False,False,True,False,700.4179399906135,12.507463214118099,29.18408083294223,1.0234380194596513,1.0782818768146458,5.268858878339617,2.0,2.0,4.25,2.0504835636700753,0.21164498745261923,2.1394699991759434,False,False,False,False,False,True,False,False
skm,Li5BiO5,-8.4089353929735,5.0,2.1927272727272724,3.44,2.286666666666666,1.088181818181818,1.26,0.1735625735639707,1.2,29.42567272727273,3,12.545454545454543,False,False,False,True,False,231.47180310685286,10.521445595766039,23.147180310685286,0.4162986752308309,0.5962364512244078,4.644084194338556,8.0,4.0,4.6,2.11962989395476,0.1742841424667974,2.4338675983024554,False,False,True,False,False,False,False,False
pwr,Li7.22Si1.5P0.5O8,-6.785156151952302,7.22,2.238130081300813,3.44,2.2447071583514098,1.026596980255517,1.26,0.2193028727582016,1.2,13.688986701509872,4,6.6295005807200935,False,False,False,True,False,165.28165759866744,5.902916342809552,9.18231431103708,1.1972221351677452,1.037480216870113,2.368396781723842,11.0,4.0,5.555555555555555,2.158887975037741,0.2801191645428355,0.9349424480778343,False,False,True,False,False,False,False,False
b4c,Li4SiS4,-7.798602875679548,4.0,1.7933333333333334,2.58,1.416,1.2155555555555555,1.7,0.4463957166040789,5.5,20.456611111111112,3,10.0,False,False,False,False,True,327.83683343678547,32.78368334367855,,1.2683496350484151,1.1256184582224327,1.5838233201449714,11.0,4.0,,,,,False,False,True,False,False,False,False,False
