id,largest_included_sphere,largest_free_sphere,largest_included_along_free,unitcell_volume,density,poav_vol_frac,ponav_vol_frac
00x,1.99590,0.85844,1.99590,904.174,3.52668,1,0
019,1.50132,1.09967,1.50131,1307.9,3.26977,1,0
02p,2.27679,0.81952,2.03738,981.404,1.8417,1,0
09w,1.24109,0.45700,1.24109,996.135,2.96045,1,0
0fh,1.06433,0.70368,1.06433,1215.72,3.92326,1,0
0ii,2.33837,1.10939,2.33837,120.783,5.784,1,0
0iv,1.58916,0.45602,1.58916,211.072,2.21939,1,0
0o6,1.32256,0.99880,1.32256,1317.55,3.24581,1,0
10s,1.17858,0.45266,1.17858,1014.11,2.90799,1,0
11b,2.51420,1.69942,2.51420,120.079,1.43257,1,0
122,1.12007,0.49877,1.12007,969.711,2.14692,1,0
13q,1.92641,0.52448,1.65865,973.797,2.65375,1,0
1dm,1.42897,0.72567,1.42897,1219.91,3.90977,1,0
1e9,1.66327,1.06668,1.66327,545.763,2.90606,1,0
1hh,2.30294,0.82269,2.30294,988.996,1.97707,1,0
1kq,1.19070,0.46902,1.19070,1007.97,2.61045,1,0
1m8,0.95163,0.33128,0.95163,1092.66,3.27033,1,0
1ty,2.01303,1.02632,2.01303,696.253,2.37982,1,0
1xf,1.41645,0.71448,1.41645,1219.27,3.91183,1,0
1xt,2.60272,2.16032,2.60272,483.511,4.41516,1,0
20k,1.63945,0.48835,1.63945,2112.32,5.65148,1,0
240,3.08750,1.77747,2.73311,1635.98,2.15926,1,0
24k,1.01876,0.38754,1.01876,941.745,2.1629,1,0
2d1,1.80007,0.77157,1.11710,2125.89,5.87564,1,0
2mn,1.68081,0.60802,1.22751,1112.63,5.01308,1,0
2r7,1.72752,0.80240,1.72752,926.489,4.60789,1,0
2ro,1.15044,0.42837,1.15044,423.356,2.21304,1,0
2t8,1.47043,0.88577,1.47043,174.613,3.40055,1,0
2uv,1.96666,0.98045,1.96666,810.069,3.79074,1,0
2wb,1.95484,0.60779,1.95484,2165.46,5.49214,1,0
32j,1.65514,0.58411,1.16823,1067.88,6.30874,1,0
3nb,1.42027,0.62746,1.42027,317.668,3.48925,1,0
3qz,1.68081,0.60802,1.22751,1112.63,5.01308,1,0
3rh,2.08092,0.84585,2.08092,2171.14,5.75317,1,0
3rx,1.74969,0.75511,1.53926,166.961,5.23229,1,0
3uq,1.28831,0.76472,1.28831,1215.65,3.92346,1,0
3zo,0.99126,0.40724,0.97702,1009.48,2.92132,1,0
419,1.85882,0.53487,1.85882,2102.46,7.05368,0.9999,0
45e,1.66691,0.68353,1.66691,164.097,3.6207,1,0
