id,composition,log_conductivity,family,space_group_num,a,b,c,alpha,beta,gamma,has_cif,source,split,doi
jqc,Li7BiO6,-5.800000874803203,hexaoxometalates,2.0,5.5071,6.0425,5.5231,116.912,120.867,62.234,True,obelix,train,10.1002/zaac.200500231
oi6,Li7SbO6,-7.173925197299173,hexaoxometalates,2.0,5.4307,5.8916,5.385,116.748,119.63,62.779,True,obelix,train,10.1021/ic030208w
2t8,LiV(PO4)F,-6.091514981121351,Tavorite,2.0,5.3115,7.2617,5.1744,107.934,98.444,107.547,True,obelix,train,10.1016/j.ssi.2013.04.002
47i,Li4P2O7,-10.0,diphosphate,2.0,8.5632,7.1099,5.1858,111.426,89.991,103.055,True,obelix,train,10.1016/j.jssc.2013.12.015
clt,Li6CuB4O10,-13.0,copper pyroborate,2.0,3.31218,6.68272,9.27858,78.8443,89.7596,86.6143,True,obelix,train,10.1021/acs.inorgchem.8b01785
ix1,Li0.91Hf2.022(PO4)3,-6.494850021680094,NASICON,167.0,8.8306,8.8306,22.027,90.0,90.0,120.0,True,obelix,train,10.1021/cm970078n
bq9,Li3BiO3,-9.619788758288394,oxides,2.0,9.02743,9.7388,9.23917,114.04632,89.29499,107.53782,True,obelix,train,10.1016/j.ssi.2015.10.016
skm,Li5BiO5,-8.4089353929735,oxides,8.0,9.97608,4.15207,5.94635,90.0,109.48577,90.0,True,obelix,train,10.1016/j.ssi.2015.10.016
pwr,Li7.22Si1.5P0.5O8,-6.785156151952302,LISICON,11.0,5.10536,6.11225,5.29671,90.0,90.3692,90.0,True,obelix,train,10.1021/jacs.5b04444
b4c,Li4SiS4,-7.798602875679548,thio-LISICON,11.0,6.8934,7.7675,6.1241,90.0,91.225,90.0,True,obelix,train,10.1006/jssc.2002.9701
7se,Li3.8Si0.8P0.2S4,-6.090979145788844,thio-LISICON,11.0,13.7707,23.304,12.1962,90.0,91.168,90.0,False,obelix,train,10.1006/jssc.2002.9701
5e2,Li3.6Si0.6P0.4S4,-4.1432711096171175,thio-LISICON,11.0,13.6233,23.4044,12.2258,90.0,90.133,90.0,False,obelix,train,10.1006/jssc.2002.9701
dj2,Li3.4Si0.4P0.6S4,-3.1791420105603,thio-LISICON,11.0,13.3678,23.6448,12.2154,90.0,90.134,90.0,False,obelix,train,10.1006/jssc.2002.9701
10u,Li3.2Si0.2P0.8S4,-5.494850021680094,thio-LISICON,11.0,13.0804,24.1028,12.2338,90.0,90.03,90.0,False,obelix,train,10.1006/jssc.2002.9701
y2l,Li5AlS4,-8.853871964321762,thio-LISICON,11.0,6.8583,7.8369,6.2488,90.0,90.333,90.0,True,obelix,train,10.1016/j.jssc.2017.09.018
gl0,Li4.2Si0.8Al0.2S4,-7.619788758288394,thio-LISICON,11.0,6.903,7.787,6.125,90.0,90.877,90.0,False,obelix,train,10.1006/jssc.2002.9701
wmr,Li4.4Si0.6Al0.4S4,-7.515700160653214,thio-LISICON,11.0,6.862,7.81,6.113,90.0,90.23,90.0,False,obelix,train,10.1006/jssc.2002.9701
xxq,Li4.6Si0.4Al0.6S4,-7.835647144215563,thio-LISICON,11.0,6.858,7.82,6.217,90.0,89.947,90.0,False,obelix,train,10.1006/jssc.2002.9701
h8o,Li4.8Si0.2Al0.8S4,-6.640164517660112,thio-LISICON,11.0,6.843,7.833,6.235,90.0,89.846,90.0,False,obelix,train,10.1006/jssc.2002.9701
pe2,Li17Sb13S28,-8.978810700930062,,12.0,12.7298,11.5837,9.2251,90.0,119.55,90.0,True,obelix,train,10.1002/chem.201502052
opo,Li0.6[Li0.2Sn0.8S2],-3.9208187539523753,layered,12.0,19.217,3.6996,6.529,90.0,109.056,90.0,True,obelix,train,10.1039/c6ee00633g
lkm,Li6Ge2O7,-6.070581074285707,,14.0,8.071,5.304,14.223,90.0,92.9,90.0,True,obelix,train,10.4028/www.scientific.net/msf.76.107
bv2,LiYO2,-7.744727494896693,oxides,14.0,6.12,6.185,6.21,90.0,118.8,90.0,True,obelix,train,10.1016/0167-2738(81)90021-7
be9,LiGaBr4,-5.154901959985743,halides,14.0,13.696,6.854,7.416,90.0,93.14,90.0,True,obelix,train,10.1016/s0167-2738(00)00491-4
n27,LiBO2,-8.0,,14.0,5.845,4.353,6.454,90.0,115.09,90.0,True,obelix,train,10.1140/epjst/e2008-00753-4
goi,LiClC3H7NO,-3.795880017344075,,14.0,5.839,6.39,15.961,90.0,98.826,90.0,True,obelix,train,10.1021/acs.chemmater.5b00940
lrh,Li2.5V2(PO4)3,-6.721246399047171,NASICON,14.0,8.45678,8.62076,11.89577,90.0,90.2366,90.0,True,obelix,train,10.1021/cm034802f
1xt,LiSbO2,-10.0,oxides,14.0,4.855,17.857,5.5771,90.0,90.061,90.0,True,obelix,train,10.1021/ic201183e
kbo,Li2Sr2Al(PO4)3,-10.0,NASICON,14.0,4.945,22.088,8.632,90.0,91.47,90.0,True,obelix,train,10.1016/j.jssc.2016.08.006
5zv,Li4Zn(PO4)2,-17.255707016877324,phosphates,14.0,8.1199,10.24192,8.10549,90.0,104.8589,90.0,True,obelix,train,10.1021/acs.chemmater.7b05139
5bz,Li3BN2,-7.060480747381382,boron nitride,14.0,5.1502,7.0824,6.7908,90.0,112.956,90.0,True,obelix,train,10.1016/0022-4596(87)90135-6
883,LiAlH4,-8.060480747381382,hydrides,14.0,4.8254,7.804,7.8968,90.0,112.268,90.0,True,obelix,train,10.1063/1.3356981
uu4,LiVO3,-8.688246138944246,oxides,15.0,10.1597,8.4155,5.8843,90.0,110.505,90.0,True,obelix,train,10.1006/jssc.2000.9009
tws,Li6Zr2O7,-9.2839966563652,zirconates,15.0,10.44,5.991,10.204,90.0,100.25,90.0,True,obelix,train,10.3103/s1062873810050199
l9v,Li3AlF6,-6.301029995663981,fluorides,15.0,14.201,8.387,9.861,90.0,94.07,90.0,True,obelix,train,10.1149/2.012206eel
t0h,Li2ZrO3,-9.214670164989233,oxides,15.0,5.4163,9.0262,5.4156,90.0,112.615,90.0,True,obelix,train,10.1016/0167-2738(81)90021-7
4kt,Li2CrCl4,-10.0,halides,15.0,7.446,10.162,10.172,90.0,90.0,132.11,True,obelix,train,10.1016/0022-4596(88)90301-5
xas,Li2SnS3,-4.823908740944319,sulfides,15.0,6.3964,11.0864,12.4048,90.0,99.867,90.0,True,obelix,train,10.1021/cm5037524
kfp,Li2BaP2O7,-16.796203144042632,pyrophosphate,15.0,7.147,12.283,14.016,90.0,90.49,90.0,True,obelix,train,10.1007/s11581-014-1261-6
qy4,Li3Na5(TiS4)2,-5.055517327849832,sulfides,15.0,17.5783,9.6404,12.0796,90.0,133.4047,90.0,True,obelix,train,10.1016/j.jssc.2008.01.023
00x,LiGd(PO3)4,-10.0,phosphates,15.0,16.386,7.059,9.677,90.0,126.12,90.0,True,obelix,train,10.1016/j.jssc.2006.06.003
9wf,Li3ErI6,-3.1870866433571443,halides,15.0,7.413,12.838,14.2,90.0,100.01,90.0,True,obelix,train,10.1021/acsaem.0c00147
dmq,Li3AlS3,-7.882728704344236,sulfides,15.0,14.31901,11.98037,6.627,90.0,116.9231,90.0,True,obelix,train,10.1021/acs.chemmater.9b03230
uox,Li3.7Zn0.7Ga0.3(PO4)2,-11.24795155218056,phosphates,19.0,4.9391,6.4803,10.1468,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.7b05139
joc,Li3PS4,-6.585026652029182,thio-LISICON,31.0,7.70829,6.53521,6.1365,90.0,90.0,90.0,True,obelix,train,10.1021/ja3110895
