id,largest_included_sphere,largest_free_sphere,largest_included_along_free,unitcell_volume,density,poav_vol_frac,poav_cm3g,ponav_vol_frac,ponav_cm3g
00x,1.75590,0.59975,1.75590,904.174,3.52668,0,,0.0053,
019,0.62333,0.24383,0.61850,1307.9,3.26977,0,,0,
0fh,0.26567,0.00000,0.26567,1215.72,3.92326,0,,0,
0ii,2.09837,0.86939,2.09837,120.783,5.784,0,,0.0589,
0o6,0.53257,0.17971,0.53257,1317.55,3.24581,0,,0,
1dm,0.61430,0.00000,0.61430,1219.91,3.90977,0,,0,
1e9,0.85974,0.37025,0.85974,545.763,2.90606,0,,0,
1hh,2.33365,0.74289,1.96388,988.996,1.97707,0,,0.0264,
1m8,0.98125,0.00000,0.98125,1092.66,3.27033,0,,0,
1ty,1.56425,0.54904,1.35400,696.253,2.37982,0,,0,
1xf,0.64617,0.09500,0.64617,1219.27,3.91183,0,,0,
1xt,1.12537,0.65435,1.12537,483.511,4.41516,0,,0,
20k,0.62991,0.00000,0.62991,2112.32,5.65148,0,,0,
240,0.79122,0.00000,0.61311,1635.98,2.15926,0,,0,
2d1,0.63980,0.00000,0.63980,2125.89,5.87564,0,,0,
2mn,0.70035,0.00000,0.70035,1112.63,5.01308,0,,0,
2r7,1.21474,0.20638,1.21474,926.489,4.60789,0,,0,
2t8,0.75565,0.30912,0.51045,174.613,3.40055,0,,0,
2uv,1.52318,0.69481,1.52318,810.069,3.79074,0,,0,
2wb,0.66842,0.00000,0.66842,2165.46,5.49214,0,,0,
32j,0.64304,0.00000,0.64304,1067.88,6.30874,0,,0,
3nb,1.12767,0.02699,1.12767,317.668,3.48925,0,,0,
3qz,0.70035,0.00000,0.70035,1112.63,5.01308,0,,0,
3rh,0.67250,0.00000,0.67250,2171.14,5.75317,0,,0,
3rx,1.28403,0.00000,1.28403,166.961,5.23229,0,,0,
3uq,0.90242,0.09632,0.90242,1215.65,3.92346,0,,0,
419,0.62270,0.00000,0.62270,2102.46,7.05368,0,,0,
4ba,1.57091,0.41216,1.57091,1213.9,3.5873,0,,0,
4ea,1.83841,0.64408,1.83841,1371.82,2.81495,0,,0.0223,
4ie,0.67975,0.00000,0.67975,2181.28,5.45233,0,,0,
4kt,1.50145,0.74068,1.50145,570.992,2.41599,0,,0,
4xq,2.39564,0.86178,2.39564,120.811,5.34286,0,,0.0859,
5bz,0.37393,0.00000,0.37393,228.083,1.73705,0,,0,
5tl,0.07566,0.00000,0.06154,116.624,6.68552,0,,0,
5wz,1.46652,0.00000,1.46652,1044.07,2.8192,0,,0,
5z0,0.35399,0.00000,0.35399,741.469,2.25176,0,,0,
68u,0.82836,0.00000,0.82836,2095.68,5.30037,0,,0,
6l9,0.24976,0.00000,0.24976,1801.15,2.59398,0,,0,
72f,0.67772,0.00000,0.67772,2178.44,5.45944,0,,0,
7cr,0.85008,0.29303,0.82160,294.042,2.68386,0,,0,
7e5,0.14385,0.00000,0.14385,241.943,7.98826,0,,0,
7ek,0.32433,0.00000,0.32433,354.167,3.73351,0,,0,
7o7,0.63652,0.00000,0.63652,2195.61,6.22183,0,,0,
7w5,0.63959,0.00000,0.63959,2176.88,5.46333,0,,0,
824,2.38932,0.00000,2.38932,959.56,2.32597,0,,0.0166,
883,1.34374,0.62184,1.19467,275.195,0.916087,0,,0,
8fn,0.41208,0.00000,0.35254,1220.52,3.90783,0,,0,
8k7,0.67379,0.38771,0.67379,1125.99,5.93026,0,,0,
95j,0.63134,0.08227,0.63134,536.687,0.999745,0,,0,
97b,0.00000,0.00000,-0.03233,164.597,3.3855,0,,0,
9ky,1.62640,0.71948,1.62640,1362.91,2.83336,0,,0.0015,
9n0,1.98209,0.20641,1.98209,119.827,5.83013,0,,0.032,
9o6,0.67495,0.00000,0.67495,2174.57,5.46915,0,,0,
9p1,0.70035,0.00000,0.70035,1112.63,5.01308,0,,0,
9ph,0.07603,0.00000,0.07603,469.496,6.64278,0,,0,
9rc,2.05992,0.00000,2.05992,961.681,2.36878,0,,0.0096,
9s4,0.65572,0.00284,0.65572,1303.1,2.96244,0,,0,
9wf,2.20891,0.42792,2.20891,1330.82,6.37399,0,,0.0106,
aab,1.64865,0.94772,1.64865,809.312,3.4729,0,,0,
ar1,1.33204,0.27231,1.21776,734.974,2.67106,0,,0,
ard,1.47770,0.68146,1.47770,1198.88,5.96374,0,,0,
aui,0.37313,0.03406,0.37313,553.347,4.40106,0,,0,
b4c,1.87853,0.97350,1.87853,327.837,1.58387,0,,0.0198,
b56,1.60527,0.36845,1.45676,943.599,4.0618,0,,0,
be9,1.75263,0.85628,1.75263,695.112,3.78666,0,,0.016,
bi3,0.65247,0.00000,0.65247,2143.35,5.92734,0,,0,
bnu,2.11999,0.85918,2.11999,1541.58,3.30639,0,,0.0059,
bq9,1.97166,0.15739,1.97166,700.418,5.26883,0,,0.0069,
br1,0.10858,0.00000,0.10858,851.971,2.36441,0,,0,
